omega,Re_G_fit,Im_G_fit
4.1471380178e+01,-2.9305855571e-03,-3.4232998329e-02
4.2099617665e+01,-3.7746921020e-03,-3.3781239544e-02
4.2737372133e+01,-4.6045518891e-03,-3.3317715382e-02
4.3384787753e+01,-5.4271390726e-03,-3.2830855798e-02
4.4042010877e+01,-6.2383390405e-03,-3.2309871025e-02
4.4709190077e+01,-7.0262155945e-03,-3.1746699382e-02
4.5386476175e+01,-7.7751999623e-03,-3.1137078463e-02
4.6074022276e+01,-8.4701995398e-03,-3.0480715115e-02
4.6771983807e+01,-9.0997957225e-03,-2.9780735804e-02
4.7480518547e+01,-9.6580384469e-03,-2.9042743596e-02
4.8199786668e+01,-1.0144750338e-02,-2.8273824693e-02
4.8929950765e+01,-1.0564608210e-02,-2.7481745152e-02
4.9671175899e+01,-1.0925487370e-02,-2.6674424164e-02
5.0423629630e+01,-1.1236605475e-02,-2.5859640027e-02
5.1187482057e+01,-1.1506912235e-02,-2.5044860663e-02
5.1962905854e+01,-1.1743996791e-02,-2.4237092287e-02
5.2750076314e+01,-1.1953591135e-02,-2.3442681359e-02
5.3549171383e+01,-1.2139588794e-02,-2.2667057505e-02
5.4360371704e+01,-1.2304403073e-02,-2.1914448899e-02
5.5183860654e+01,-1.2449463937e-02,-2.1187628036e-02
5.6019824391e+01,-1.2575683002e-02,-2.0487752697e-02
5.6868451892e+01,-1.2683778341e-02,-1.9814355435e-02
5.7729934997e+01,-1.2774420709e-02,-1.9165508816e-02
5.8604468450e+01,-1.2848222369e-02,-1.8538159385e-02
5.9492249948e+01,-1.2905629052e-02,-1.7928589092e-02
6.0393480181e+01,-1.2946791683e-02,-1.7332936606e-02
6.1308362880e+01,-1.2971489244e-02,-1.6747698560e-02
6.2237104863e+01,-1.2979151669e-02,-1.6170134528e-02
6.3179916079e+01,-1.2968998554e-02,-1.5598518516e-02
6.4137009659e+01,-1.2940273663e-02,-1.5032209861e-02
6.5108601963e+01,-1.2892525547e-02,-1.4471551438e-02
6.6094912627e+01,-1.2825868552e-02,-1.3917635549e-02
6.7096164614e+01,-1.2741160151e-02,-1.3372000500e-02
6.8112584268e+01,-1.2640048771e-02,-1.2836328372e-02
6.9144401358e+01,-1.2524875783e-02,-1.2312205474e-02
7.0191849135e+01,-1.2398447698e-02,-1.1800984293e-02
7.1255164384e+01,-1.2263722049e-02,-1.1303756127e-02
7.2334587476e+01,-1.2123467056e-02,-1.0821414790e-02
7.3430362425e+01,-1.1979958426e-02,-1.0354770614e-02
7.4542736939e+01,-1.1834766985e-02,-9.9046642185e-03
7.5671962481e+01,-1.1688671131e-02,-9.4720319990e-03
7.6818294322e+01,-1.1541702925e-02,-9.0578884116e-03
7.7981991600e+01,-1.1393311185e-02,-8.6632110824e-03
7.9163317378e+01,-1.1242604494e-02,-8.2887399218e-03
8.0362538706e+01,-1.1088625179e-02,-7.9347263603e-03
8.1579926678e+01,-1.0930603628e-02,-7.6006883855e-03
8.2815756494e+01,-1.0768149436e-02,-7.2852359434e-03
8.4070307526e+01,-1.0601349282e-02,-6.9860255499e-03
8.5343863374e+01,-1.0430758043e-02,-6.6998818203e-03
8.6636711938e+01,-1.0257287663e-02,-6.4230903887e-03
8.7949145476e+01,-1.0082016821e-02,-6.1518285204e-03
8.9281460676e+01,-9.9059617528e-03,-5.8826656800e-03
9.0633958719e+01,-9.7298612816e-03,-5.6130447213e-03
9.2006945349e+01,-9.5540314735e-03,-5.3416504676e-03
9.3400730941e+01,-9.3783328532e-03,-5.0685875025e-03
9.4815630572e+01,-9.2022653618e-03,-4.7953206790e-03
9.6251964093e+01,-9.0251700823e-03,-4.5243753618e-03
9.7710056200e+01,-8.8464842121e-03,-4.2588427471e-03
9.9190236506e+01,-8.6659791859e-03,-4.0017796633e-03
1.0069283962e+02,-8.4839173620e-03,-3.7556214469e-03
1.0221820522e+02,-8.3010870040e-03,-3.5217314180e-03
1.0376667812e+02,-8.1187078739e-03,-3.3001868000e-03
1.0533860837e+02,-7.9382292005e-03,-3.0898522325e-03
1.0693435132e+02,-7.7610618858e-03,-2.8887294917e-03
1.0855426771e+02,-7.5882977020e-03,-2.6945105471e-03
1.1019872372e+02,-7.4204725093e-03,-2.5052142800e-03
1.1186809110e+02,-7.2574277381e-03,-2.3197637548e-03
1.1356274722e+02,-7.0983100678e-03,-2.1383642047e-03
1.1528307519e+02,-6.9417196068e-03,-1.9625717950e-03
1.1702946388e+02,-6.7859763086e-03,-1.7949982009e-03
1.1880230809e+02,-6.6294379522e-03,-1.6386720365e-03
1.2060200859e+02,-6.4707895834e-03,-1.4961649115e-03
1.2242897221e+02,-6.3092425687e-03,-1.3686681812e-03
1.2428361196e+02,-6.1446198449e-03,-1.2552515691e-03
1.2616634708e+02,-5.9773358874e-03,-1.1525258617e-03
1.2807760319e+02,-5.8082845684e-03,-1.0548619069e-03
1.3001781235e+02,-5.6386320993e-03,-9.5519924112e-04
1.3198741315e+02,-5.4695103710e-03,-8.4633880599e-04
1.3398685085e+02,-5.3016520953e-03,-7.2249236415e-04
1.3601657743e+02,-5.1350963272e-03,-5.8078684506e-04
1.3807705172e+02,-4.9691586008e-03,-4.2240582571e-04
1.4016873952e+02,-4.8028190792e-03,-2.5308668651e-04
1.4229211368e+02,-4.6354969870e-03,-8.2778849796e-05
1.4444765419e+02,-4.4679166119e-03,7.5579444236e-05
1.4663584833e+02,-4.3025916371e-03,2.0798948934e-04
1.4885719077e+02,-4.1435236659e-03,3.0162746525e-04
1.5111218367e+02,-3.9950588882e-03,3.4689027548e-04
1.5340133677e+02,-3.8603117848e-03,3.3886655161e-04
