omega,Re_G,Im_G
 2.66536286e+00, 2.78036719e-01,-3.33217245e-01
 2.67541189e+00, 2.76753488e-01,-3.33253030e-01
 2.68549881e+00, 2.75469061e-01,-3.33283850e-01
 2.69562376e+00, 2.74183483e-01,-3.33309696e-01
 2.70578688e+00, 2.72896798e-01,-3.33330564e-01
 2.71598832e+00, 2.71609052e-01,-3.33346448e-01
 2.72622822e+00, 2.70320291e-01,-3.33357343e-01
 2.73650673e+00, 2.69030562e-01,-3.33363244e-01
 2.74682399e+00, 2.67739914e-01,-3.33364147e-01
 2.75718014e+00, 2.66448394e-01,-3.33360049e-01
 2.76757535e+00, 2.65156053e-01,-3.33350946e-01
 2.77800974e+00, 2.63862940e-01,-3.33336837e-01
 2.78848348e+00, 2.62569106e-01,-3.33317718e-01
 2.79899670e+00, 2.61274604e-01,-3.33293589e-01
 2.80954956e+00, 2.59979485e-01,-3.33264449e-01
 2.82014221e+00, 2.58683802e-01,-3.33230296e-01
 2.83077479e+00, 2.57387609e-01,-3.33191131e-01
 2.84144746e+00, 2.56090960e-01,-3.33146955e-01
 2.85216037e+00, 2.54793910e-01,-3.33097768e-01
 2.86291367e+00, 2.53496515e-01,-3.33043571e-01
 2.87370752e+00, 2.52198830e-01,-3.32984368e-01
 2.88454206e+00, 2.50900912e-01,-3.32920159e-01
 2.89541744e+00, 2.49602819e-01,-3.32850948e-01
 2.90633383e+00, 2.48304607e-01,-3.32776739e-01
 2.91729138e+00, 2.47006335e-01,-3.32697535e-01
 2.92829024e+00, 2.45708062e-01,-3.32613341e-01
 2.93933056e+00, 2.44409847e-01,-3.32524161e-01
 2.95041252e+00, 2.43111749e-01,-3.32430002e-01
 2.96153625e+00, 2.41813828e-01,-3.32330868e-01
 2.97270192e+00, 2.40516144e-01,-3.32226766e-01
 2.98390969e+00, 2.39218758e-01,-3.32117703e-01
 2.99515972e+00, 2.37921730e-01,-3.32003686e-01
 3.00645216e+00, 2.36625123e-01,-3.31884723e-01
 3.01778717e+00, 2.35328997e-01,-3.31760822e-01
 3.02916492e+00, 2.34033414e-01,-3.31631991e-01
 3.04058557e+00, 2.32738436e-01,-3.31498240e-01
 3.05204928e+00, 2.31444126e-01,-3.31359577e-01
 3.06355621e+00, 2.30150545e-01,-3.31216014e-01
 3.07510652e+00, 2.28857756e-01,-3.31067560e-01
 3.08670038e+00, 2.27565822e-01,-3.30914226e-01
 3.09833795e+00, 2.26274805e-01,-3.30756024e-01
 3.11001939e+00, 2.24984767e-01,-3.30592964e-01
 3.12174488e+00, 2.23695773e-01,-3.30425060e-01
 3.13351458e+00, 2.22407883e-01,-3.30252323e-01
